iddesa,quadrant
7401050016,1.0
7401050019,1.0
7401050020,1.0
7401050021,1.0
7401050022,4.0
7401050023,1.0
7401050025,1.0
7401050027,1.0
7401050028,1.0
7401050029,1.0
7401050030,1.0
7401050031,1.0
7401050032,1.0
7401051008,3.0
7401051009,1.0
7401051011,1.0
7401051012,1.0
7401051013,1.0
7401051014,1.0
7401051015,1.0
7401051017,1.0
7401051021,1.0
7401051023,1.0
7401052002,1.0
7401052004,1.0
7401052005,1.0
7401052006,1.0
7401052007,1.0
7401052008,1.0
7401052009,3.0
7401052011,1.0
7401060006,2.0
7401060007,2.0
7401060008,2.0
7401060009,4.0
7401060010,3.0
7401060011,3.0
7401060013,3.0
7401060017,1.0
7401060018,1.0
7401060019,1.0
7401060020,1.0
7401060021,1.0
7401060022,3.0
7401060029,1.0
7401060030,3.0
7401060031,1.0
7401061025,3.0
7401061027,1.0
7401061028,1.0
7401061030,3.0
7401062001,1.0
7401110002,1.0
7401110003,3.0
7401110004,3.0
7401110005,1.0
7401110006,1.0
7401110007,1.0
7401110008,3.0
7401110009,1.0
7401110010,1.0
7401110011,3.0
7401110012,1.0
7401110013,3.0
7401110014,1.0
7401110015,1.0
7401110016,1.0
7401110017,1.0
7402010008,3.0
7402010011,3.0
7402010013,3.0
7402010014,3.0
7402010015,3.0
7402010016,1.0
7402010017,3.0
7402010018,1.0
7402010019,1.0
7402011001,1.0
7402011002,1.0
7402011003,3.0
7402011006,3.0
7402020010,1.0
7402020011,3.0
7402020012,1.0
7402020013,1.0
7402020014,1.0
7402020016,3.0
7402020017,3.0
7402020018,3.0
7402020019,1.0
7402020020,1.0
7402021006,1.0
7402021007,3.0
7402021008,3.0
7402021011,3.0
7402021012,3.0
7402022003,3.0
7402022004,3.0
7402030001,3.0
7402030002,1.0
7402030003,1.0
7402030004,1.0
7402030006,3.0
7402030007,3.0
7402030008,1.0
7402030009,1.0
7402030010,1.0
7402030019,1.0
7402031001,1.0
7402031002,3.0
7402031003,1.0
7402031004,3.0
7402031005,1.0
7402031006,1.0
7402031007,3.0
7402031008,1.0
7402031009,3.0
7402032001,1.0
7402032002,1.0
7402032003,1.0
7402032004,1.0
7402061001,1.0
7402061005,1.0
7402062002,3.0
7402062005,3.0
7402062006,3.0
7402062007,1.0
7402062008,3.0
7402070023,2.0
7402071004,3.0
7402072001,4.0
7402072006,4.0
7402073002,2.0
7402080008,3.0
7402080009,1.0
7402080010,3.0
7402080011,3.0
7402080012,3.0
7402080013,1.0
7402081001,1.0
7402081002,2.0
7402081007,1.0
7402090011,3.0
7402090012,3.0
7402090013,1.0
7402091007,1.0
7402091008,3.0
7402091010,1.0
7402092002,3.0
7402092004,3.0
7402111004,3.0
7402111005,1.0
7402111008,3.0
7402111009,3.0
7402112001,3.0
7402112002,1.0
7402112003,1.0
7403090012,1.0
7403090013,1.0
7403090018,4.0
7403090019,3.0
7403091009,4.0
7403091010,3.0
7403091011,1.0
7403100013,3.0
7403100015,4.0
7403100016,4.0
7403100017,3.0
7403100018,2.0
7403100019,4.0
7403100024,2.0
7403101010,4.0
7403101011,2.0
7403101012,2.0
7403101013,2.0
7403101014,2.0
7403101015,4.0
7403101026,2.0
7403101027,4.0
