iddesa,binding_constraint,tier,lever,note,magnitude,severity
7401050016,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7401050019,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401050020,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9874427823429638,0.9874427823429638
7401050021,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401050023,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7401050025,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7401050027,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401050028,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401050029,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7401050030,z_B3,Tier 2,,,-0.37828146420285336,0.37828146420285336
7401050031,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401050032,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.5457930298744611,0.5457930298744611
7401051009,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-1.1909440374765494,1.1909440374765494
7401051011,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.27803116902206426,0.27803116902206426
7401051012,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7401051013,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401051014,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-1.1909440374765494,1.1909440374765494
7401051015,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7401051017,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9874427823429638,0.9874427823429638
7401051021,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401051023,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.8135548907268579,0.8135548907268579
7401052002,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401052004,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.4023163351661838,0.4023163351661838
7401052005,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.27166923980560326,0.27166923980560326
7401052006,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9874427823429638,0.9874427823429638
7401052007,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9874427823429638,0.9874427823429638
7401052008,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.3381007950824587,0.3381007950824587
7401052011,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401060017,z_B3,Tier 2,,,-0.33645876788950574,0.33645876788950574
7401060018,z_B3,Tier 2,,,-0.33645876788950574,0.33645876788950574
7401060019,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7401060020,z_B3,Tier 2,,,-0.6972251745582301,0.6972251745582301
7401060021,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401060029,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.29213101705915423,0.29213101705915423
7401060031,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7401061027,z_B3,Tier 2,,,-0.5679411542517364,0.5679411542517364
7401061028,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401062001,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.9874427823429638,0.9874427823429638
7401110002,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7401110005,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,0.027476713750175352,-0.027476713750175352
7401110006,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-1.0474673427682717,1.0474673427682717
7401110007,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.27166923980560326,0.27166923980560326
7401110009,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.27166923980560326,0.27166923980560326
7401110010,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7401110012,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7401110014,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.5457930298744611,0.5457930298744611
7401110015,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.6267794049360415,0.6267794049360415
7401110016,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7401110017,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7402010016,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7402010018,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7402010019,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.29213101705915423,0.29213101705915423
7402011001,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-1.1909440374765494,1.1909440374765494
7402011002,z_B3,Tier 2,,,-0.33645876788950574,0.33645876788950574
7402020010,z_B3,Tier 2,,,-0.6972251745582301,0.6972251745582301
7402020012,z_B3,Tier 2,,,-0.27772354646700254,0.27772354646700254
7402020013,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.471292786700904,0.471292786700904
7402020014,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7402020019,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.7154899418321495,0.7154899418321495
7402020020,z_B3,Tier 2,,,-0.9874427823429638,0.9874427823429638
7402021006,z_B3,Tier 2,,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.6972251745582301,0.6972251745582301
7402030002,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.27166923980560326,0.27166923980560326
7402030003,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7402030004,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7402030008,z_B3,Tier 2,,,0.12004892641802387,-0.12004892641802387
