iddesa,has_agri,is_urban,is_analytic,is_ndvi_exc,is_ntl_exc
7401050016,True,True,True,False,False
7401050019,True,True,True,False,False
7401050020,True,True,True,False,False
7401050021,True,True,True,False,False
7401050022,True,True,True,False,False
7401050023,True,True,True,False,False
7401050024,False,True,False,False,False
7401050025,True,True,True,False,False
7401050026,False,True,False,False,False
7401050027,True,True,True,False,False
7401050028,True,True,True,False,False
7401050029,True,True,True,False,False
7401050030,True,True,True,False,False
7401050031,True,True,True,False,False
7401050032,True,True,True,False,False
7401051008,True,True,True,False,False
7401051009,True,True,True,False,False
7401051010,False,True,False,False,False
7401051011,True,True,True,False,False
7401051012,True,True,True,False,False
7401051013,True,True,True,False,False
7401051014,True,True,True,False,False
7401051015,True,True,True,False,False
7401051016,False,True,False,False,False
7401051017,True,True,True,False,False
7401051018,False,True,False,False,False
7401051019,False,True,False,False,False
7401051020,False,True,False,False,False
7401051021,True,True,True,False,False
7401051022,False,True,False,False,False
7401051023,True,True,True,False,False
7401052001,False,True,False,False,False
7401052002,True,True,True,False,False
7401052003,False,True,False,False,False
7401052004,True,True,True,False,False
7401052005,True,True,True,False,False
7401052006,True,True,True,False,False
7401052007,True,True,True,False,False
7401052008,True,True,True,False,False
7401052009,True,True,True,False,False
7401052010,False,True,False,False,False
7401052011,True,True,True,False,False
7401060006,True,True,True,False,False
7401060007,True,True,True,False,False
7401060008,True,True,True,False,False
7401060009,True,True,True,False,False
7401060010,True,True,True,False,False
7401060011,True,True,True,False,False
7401060012,False,True,False,False,False
7401060013,True,True,True,False,False
7401060014,False,True,False,False,False
7401060015,False,True,False,False,False
7401060016,False,True,False,False,False
7401060017,True,True,True,False,False
7401060018,True,True,True,False,False
7401060019,True,True,True,True,False
7401060020,True,True,True,False,False
7401060021,True,True,True,False,False
7401060022,True,True,True,False,False
7401060023,False,True,False,False,False
7401060024,False,True,False,False,False
7401060029,True,True,True,False,False
7401060030,True,True,True,False,False
7401060031,True,True,True,False,False
7401061025,True,True,True,False,False
7401061026,False,True,False,False,False
7401061027,True,True,True,False,False
7401061028,True,True,True,False,False
7401061029,False,True,False,False,False
7401061030,True,True,True,False,False
7401061031,False,True,False,False,False
7401062001,True,True,True,False,False
7401062002,False,True,False,False,False
7401062003,False,True,False,False,False
7401062004,False,True,False,False,False
7401062005,False,True,False,False,False
7401062006,False,True,False,False,False
7401062007,False,True,False,False,False
7401110001,False,True,False,False,False
7401110002,True,True,True,False,False
7401110003,True,True,True,False,False
7401110004,True,True,True,False,False
7401110005,True,True,True,False,False
7401110006,True,True,True,False,False
7401110007,True,True,True,False,False
7401110008,True,True,True,False,False
7401110009,True,True,True,False,False
7401110010,True,True,True,False,False
7401110011,True,True,True,False,False
7401110012,True,True,True,False,False
7401110013,True,True,True,False,False
7401110014,True,True,True,False,False
7401110015,True,True,True,False,False
7401110016,True,True,True,False,False
7401110017,True,True,True,False,False
7402010006,False,True,False,False,False
7402010007,False,True,False,False,False
7402010008,True,True,True,False,False
7402010011,True,True,True,False,False
7402010012,False,True,False,False,False
7402010013,True,True,True,False,False
7402010014,True,True,True,False,False
7402010015,True,True,True,False,False
7402010016,True,True,True,False,False
7402010017,True,True,True,False,False
7402010018,True,True,True,False,False
7402010019,True,True,True,False,False
7402011001,True,True,True,False,False
7402011002,True,True,True,False,False
7402011003,True,True,True,True,True
7402011004,False,True,False,False,False
7402011005,False,True,False,False,False
7402011006,True,True,True,False,False
7402020010,True,True,True,False,False
7402020011,True,True,True,False,False
7402020012,True,True,True,False,False
7402020013,True,True,True,False,False
7402020014,True,True,True,False,False
7402020015,False,True,False,False,False
7402020016,True,True,True,False,False
7402020017,True,True,True,False,False
7402020018,True,True,True,False,False
7402020019,True,True,True,False,False
7402020020,True,True,True,False,False
7402021006,True,True,True,False,False
7402021007,True,True,True,False,False
7402021008,True,True,True,False,False
7402021011,True,True,True,False,False
7402021012,True,True,True,False,False
7402022001,False,True,False,False,False
7402022002,False,True,False,False,False
7402022003,True,True,True,True,False
7402022004,True,True,True,False,False
7402022005,False,True,False,False,False
7402030001,True,True,True,False,False
7402030002,True,True,True,False,False
7402030003,True,True,True,False,False
7402030004,True,True,True,False,False
7402030005,False,True,False,False,False
7402030006,True,True,True,False,False
7402030007,True,True,True,False,False
7402030008,True,True,True,False,False
7402030009,True,True,True,False,False
7402030010,True,True,True,False,False
7402030019,True,True,True,False,False
7402031001,True,True,True,False,False
7402031002,True,True,True,False,False
7402031003,True,True,True,False,False
7402031004,True,True,True,False,False
7402031005,True,True,True,True,True
7402031006,True,True,True,False,False
7402031007,True,True,True,True,False
7402031008,True,True,True,False,False
7402031009,True,True,True,False,False
7402032001,True,True,True,False,False
7402032002,True,True,True,False,False
7402032003,True,True,True,False,False
7402032004,True,True,True,False,False
7402032005,False,True,False,False,False
7402032006,False,True,False,False,False
7402061001,True,True,True,False,False
7402061002,False,True,False,False,False
7402061003,False,True,False,False,False
7402061004,False,True,False,False,False
7402061005,True,True,True,False,False
7402061010,False,True,False,False,False
7402062001,False,True,False,False,False
